"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
1,15284,"Pulóver","lazac",2,"XL"
3,15284,"Pulóver","v.kék",2,"L"
5,15284,"Pulóver","v.kék",2,"M"
7,15284,"Pulóver","v.kék",2,"S"
5,15284,"Pulóver","v.kék",2,"XL"
7,15285,"Top","barna",1,"L"
13,15285,"Top","barna",1,"M"
12,15285,"Top","barna",1,"S"
3,15285,"Top","beige",1,"L"
4,15285,"Top","beige",1,"M"
5,15285,"Top","beige",1,"S"
1,15285,"Top","kék csíkos",2,"L"
1,15285,"Top","kék csíkos",2,"S"
9,15285,"Top","kék",1,"L"
15,15285,"Top","kék",1,"M"
12,15285,"Top","kék",1,"S"
7,15285,"Top","lazac",1,"L"
15,15285,"Top","lazac",1,"M"
15,15285,"Top","lazac",1,"S"
1,15285,"Top","zöld",1,"M"
1,15285,"Top","zöld",1,"S"
3,15286,"Pulóver","v.szürke",1,"2XL"
4,15286,"Pulóver","v.szürke",1,"L"
4,15286,"Pulóver","v.szürke",1,"M"
5,15286,"Pulóver","v.szürke",1,"S"
4,15286,"Pulóver","v.szürke",1,"XL"
9,15287,"Pulóver","karamell",1,"2XL"
7,15287,"Pulóver","karamell",1,"L"
7,15287,"Pulóver","karamell",1,"M"
1,15287,"Pulóver","karamell",1,"S"
8,15287,"Pulóver","karamell",1,"XL"
4,15287,"Pulóver","v.szürke",1,"2XL"
2,15287,"Pulóver","v.szürke",1,"3XL"
3,15287,"Pulóver","v.szürke",1,"L"
5,15287,"Pulóver","v.szürke",1,"M"
5,15287,"Pulóver","v.szürke",1,"S"
1,15287,"Pulóver","v.szürke",2,"S"
1,15287,"Pulóver","v.szürke",2,"XL"
4,15288,"Pulóver","szürke/narancs",1,"2XL"
2,15288,"Pulóver","szürke/narancs",1,"L"
3,15288,"Pulóver","szürke/narancs",1,"M"
4,15288,"Pulóver","szürke/narancs",1,"S"
4,15288,"Pulóver","szürke/narancs",1,"XL"
1,15288,"Pulóver","szürke/narancs",2,"M"
1,15288,"Pulóver","szürke/rózsa",2,"S"
5,15288,"Pulóver","szürke/rózsaszín",1,"2XL"
4,15288,"Pulóver","szürke/rózsaszín",1,"L"
3,15288,"Pulóver","szürke/rózsaszín",1,"M"
3,15288,"Pulóver","szürke/rózsaszín",1,"S"
3,15288,"Pulóver","szürke/rózsaszín",1,"XL"
4,15291,"Ruha","kék",1,"L"
1,15291,"Ruha","kék",1,"M"
6,15291,"Ruha","sárga",1,"L"
4,15291,"Ruha","sárga",1,"M"
